id,value,category,price,date
1,933,D,163.77289463478303,2024-01-01
2,313,A,236.32133947120204,2024-01-02
3,140,A,94.95386681078551,2024-01-03
4,217,D,204.45444755265729,2024-01-04
5,329,D,295.8282619534454,2024-01-05
6,135,B,334.32924789028107,2024-01-06
7,859,A,82.56990570620842,2024-01-07
8,223,B,411.6229148440424,2024-01-08
9,72,C,67.50253166089925,2024-01-09
10,421,C,240.68209675485087,2024-01-10
11,744,A,281.8822920384656,2024-01-11
12,490,C,328.4859911793614,2024-01-12
13,337,A,220.24027240308436,2024-01-13
14,306,A,222.54801369599875,2024-01-14
15,510,B,392.4712025211522,2024-01-15
16,909,C,476.1803984023932,2024-01-16
17,569,D,209.01272702218276,2024-01-17
18,79,B,449.4446374426329,2024-01-18
19,67,B,284.76420227354976,2024-01-19
20,289,A,419.5591162938909,2024-01-20
21,608,D,76.97363175190753,2024-01-21
22,611,D,345.5798685296141,2024-01-22
23,169,C,41.748209888941936,2024-01-23
24,963,B,204.96006112779418,2024-01-24
25,245,C,22.95635218266597,2024-01-25
26,726,C,414.7017440926241,2024-01-26
27,992,A,232.22787329950097,2024-01-27
28,289,D,240.90200089410968,2024-01-28
29,144,A,474.2614173772699,2024-01-29
30,352,C,269.096483120924,2024-01-30
31,337,A,355.17835630584096,2024-01-31
32,153,D,97.23030446709882,2024-02-01
33,312,D,133.88331604961172,2024-02-02
34,888,B,322.54866270763216,2024-02-03
35,91,B,253.11192481110845,2024-02-04
36,691,B,273.98630810160415,2024-02-05
37,85,C,265.0798270631334,2024-02-06
38,445,C,482.98596664171316,2024-02-07
39,708,D,383.7441673244458,2024-02-08
40,705,C,321.05984687701294,2024-02-09
41,419,B,305.4924116421979,2024-02-10
42,418,C,421.9552875315523,2024-02-11
43,101,A,305.45697031582665,2024-02-12
44,498,C,348.22133727625254,2024-02-13
45,390,C,421.8460039070086,2024-02-14
46,122,A,219.84733216466904,2024-02-15
47,277,A,204.30284564118912,2024-02-16
48,500,D,268.6658035452964,2024-02-17
49,742,D,454.7468643975436,2024-02-18
50,762,C,241.1534325806533,2024-02-19
51,112,A,488.0569292417505,2024-02-20
52,907,C,195.38039570626205,2024-02-21
53,648,A,44.95861375335096,2024-02-22
54,923,A,157.16012481108015,2024-02-23
55,366,B,108.71852672064134,2024-02-24
56,387,B,467.4965693234205,2024-02-25
57,376,D,296.25925042180205,2024-02-26
58,918,B,360.79872357652374,2024-02-27
59,166,C,449.11557219420246,2024-02-28
60,257,A,54.869190307205784,2024-02-29
61,909,B,189.55769298028602,2024-03-01
62,623,C,419.6122878916681,2024-03-02
63,543,A,379.8112200501324,2024-03-03
64,817,C,96.38687816756314,2024-03-04
65,931,A,277.4567543633684,2024-03-05
66,308,A,122.70526947382106,2024-03-06
67,359,D,120.22915247487968,2024-03-07
68,185,C,103.36386453082183,2024-03-08
69,658,C,255.9158702250689,2024-03-09
70,162,D,32.449432886026244,2024-03-10
71,578,B,378.17568826888424,2024-03-11
72,367,D,16.12356085306237,2024-03-12
73,867,A,403.88215598155904,2024-03-13
74,125,B,171.15514674951177,2024-03-14
75,153,B,401.7394370513834,2024-03-15
76,705,A,12.864181892927599,2024-03-16
77,127,D,458.2176237565967,2024-03-17
78,117,C,350.97613875641946,2024-03-18
79,750,B,448.88770159657383,2024-03-19
80,437,B,442.32634264744314,2024-03-20
81,289,D,179.26076765902988,2024-03-21
82,415,D,333.88062552199,2024-03-22
83,396,B,64.53646698012598,2024-03-23
84,744,A,220.50767240975014,2024-03-24
85,230,D,381.7777609316875,2024-03-25
86,800,D,416.6571035524586,2024-03-26
87,225,B,430.53285662323236,2024-03-27
88,68,D,486.36022225044724,2024-03-28
89,743,D,204.3188148273003,2024-03-29
90,949,C,55.254025989085285,2024-03-30
91,506,C,467.3377717877362,2024-03-31
92,81,D,327.5393651769851,2024-04-01
93,904,C,23.9571658195594,2024-04-02
94,617,C,31.9438020947649,2024-04-03
95,64,A,22.04731226246289,2024-04-04
96,347,A,238.9477795611291,2024-04-05
97,622,A,212.64003652169583,2024-04-06
98,805,C,261.2714229054604,2024-04-07
99,116,A,13.357457038023067,2024-04-08
100,815,A,68.06474036181564,2024-04-09
