county_name,state_name,total_acres,avg_acres_per_decade,num_decades,urbanization_rate,scenario,scenario_description,spatial_level,time_period,generated_date
Los Angeles County,California,5527603.59,276380.18,5,1105520.72,ensemble_overall,Ensemble Projection (Average of All Scenarios),County,All Periods,2025-06-02 08:24:37
Maricopa County,Arizona,3964338.5,198216.93,5,792867.7,ensemble_overall,Ensemble Projection (Average of All Scenarios),County,All Periods,2025-06-02 08:24:37
Riverside County,California,3962326.87,158493.07,5,792465.37,ensemble_overall,Ensemble Projection (Average of All Scenarios),County,All Periods,2025-06-02 08:24:37
Harris County,Texas,3184804.16,127392.17,5,636960.83,ensemble_overall,Ensemble Projection (Average of All Scenarios),County,All Periods,2025-06-02 08:24:37
Cook County,Illinois,2640817.23,132040.86,5,528163.45,ensemble_overall,Ensemble Projection (Average of All Scenarios),County,All Periods,2025-06-02 08:24:37
San Diego County,California,2518464.02,100738.56,5,503692.8,ensemble_overall,Ensemble Projection (Average of All Scenarios),County,All Periods,2025-06-02 08:24:37
Fresno County,California,2208657.16,88346.29,5,441731.43,ensemble_overall,Ensemble Projection (Average of All Scenarios),County,All Periods,2025-06-02 08:24:37
Santa Clara County,California,2181033.49,87241.34,5,436206.7,ensemble_overall,Ensemble Projection (Average of All Scenarios),County,All Periods,2025-06-02 08:24:37
San Bernardino County,California,2051091.44,82043.66,5,410218.29,ensemble_overall,Ensemble Projection (Average of All Scenarios),County,All Periods,2025-06-02 08:24:37
Tarrant County,Texas,1910948.12,76437.92,5,382189.62,ensemble_overall,Ensemble Projection (Average of All Scenarios),County,All Periods,2025-06-02 08:24:37
Suffolk County,New York,1910359.87,95517.99,5,382071.97,ensemble_overall,Ensemble Projection (Average of All Scenarios),County,All Periods,2025-06-02 08:24:37
Pima County,Arizona,1812636.71,90631.84,5,362527.34,ensemble_overall,Ensemble Projection (Average of All Scenarios),County,All Periods,2025-06-02 08:24:37
Dallas County,Texas,1787502.18,71500.09,5,357500.44,ensemble_overall,Ensemble Projection (Average of All Scenarios),County,All Periods,2025-06-02 08:24:37
King County,Washington,1762979.95,88149.0,5,352595.99,ensemble_overall,Ensemble Projection (Average of All Scenarios),County,All Periods,2025-06-02 08:24:37
Oakland County,Michigan,1759385.3,87969.26,5,351877.06,ensemble_overall,Ensemble Projection (Average of All Scenarios),County,All Periods,2025-06-02 08:24:37
Stanislaus County,California,1707772.31,68310.89,5,341554.46,ensemble_overall,Ensemble Projection (Average of All Scenarios),County,All Periods,2025-06-02 08:24:37
Wayne County,Michigan,1684234.63,84211.73,5,336846.93,ensemble_overall,Ensemble Projection (Average of All Scenarios),County,All Periods,2025-06-02 08:24:37
Orange County,California,1673423.79,66936.95,5,334684.76,ensemble_overall,Ensemble Projection (Average of All Scenarios),County,All Periods,2025-06-02 08:24:37
Palm Beach County,Florida,1651046.34,66041.85,5,330209.27,ensemble_overall,Ensemble Projection (Average of All Scenarios),County,All Periods,2025-06-02 08:24:37
Navajo County,Arizona,1617584.53,64703.38,5,323516.91,ensemble_overall,Ensemble Projection (Average of All Scenarios),County,All Periods,2025-06-02 08:24:37
Middlesex County,Massachusetts,1590662.7,79533.13,5,318132.54,ensemble_overall,Ensemble Projection (Average of All Scenarios),County,All Periods,2025-06-02 08:24:37
St. Louis County,Missouri,1534279.99,76714.0,5,306856.0,ensemble_overall,Ensemble Projection (Average of All Scenarios),County,All Periods,2025-06-02 08:24:37
Allegheny County,Pennsylvania,1467952.62,73397.63,5,293590.52,ensemble_overall,Ensemble Projection (Average of All Scenarios),County,All Periods,2025-06-02 08:24:37
Hillsborough County,Florida,1455131.56,58205.26,5,291026.31,ensemble_overall,Ensemble Projection (Average of All Scenarios),County,All Periods,2025-06-02 08:24:37
Wake County,North Carolina,1430963.29,71548.16,5,286192.66,ensemble_overall,Ensemble Projection (Average of All Scenarios),County,All Periods,2025-06-02 08:24:37
Shelby County,Tennessee,1410719.3,70535.97,5,282143.86,ensemble_overall,Ensemble Projection (Average of All Scenarios),County,All Periods,2025-06-02 08:24:37
Bexar County,Texas,1401226.11,56049.04,5,280245.22,ensemble_overall,Ensemble Projection (Average of All Scenarios),County,All Periods,2025-06-02 08:24:37
Kern County,California,1379412.81,55176.51,5,275882.56,ensemble_overall,Ensemble Projection (Average of All Scenarios),County,All Periods,2025-06-02 08:24:37
Mecklenburg County,North Carolina,1377965.67,68898.28,5,275593.13,ensemble_overall,Ensemble Projection (Average of All Scenarios),County,All Periods,2025-06-02 08:24:37
Lane County,Oregon,1362704.11,54508.16,5,272540.82,ensemble_overall,Ensemble Projection (Average of All Scenarios),County,All Periods,2025-06-02 08:24:37
Orange County,Florida,1352738.06,54109.52,5,270547.61,ensemble_overall,Ensemble Projection (Average of All Scenarios),County,All Periods,2025-06-02 08:24:37
Pierce County,Washington,1323521.63,52940.87,5,264704.33,ensemble_overall,Ensemble Projection (Average of All Scenarios),County,All Periods,2025-06-02 08:24:37
Fairfield County,Connecticut,1301193.62,65059.68,5,260238.72,ensemble_overall,Ensemble Projection (Average of All Scenarios),County,All Periods,2025-06-02 08:24:37
Worcester County,Massachusetts,1296264.22,64813.21,5,259252.84,ensemble_overall,Ensemble Projection (Average of All Scenarios),County,All Periods,2025-06-02 08:24:37
Fulton County,Georgia,1225371.99,81691.47,5,245074.4,ensemble_overall,Ensemble Projection (Average of All Scenarios),County,All Periods,2025-06-02 08:24:37
